Code,Category,OrgCode,Parent,Stage,ParentCategory
1,Telecommunications,DOTEL,,1,#N/A
2,Mobile Related,DOTEL,1,2,Telecommunications
3,Pension Related,DOTEL,1,2,Telecommunications
4,Broadband Related,DOTEL,1,2,Telecommunications
5,Landline Related,DOTEL,1,2,Telecommunications
6,Employee Related / Services Related,DOTEL,1,2,Telecommunications
7,Tower Related,DOTEL,1,2,Telecommunications
8,Malpractices / Corruption / Complaint Related to financial irregularities,DOTEL,1,2,Telecommunications
9,Suggestions,DOTEL,1,2,Telecommunications
10,Others,DOTEL,1,2,Telecommunications
11,Call Drop,DOTEL,2,3,Mobile Related
12,Improper Network Coverage,DOTEL,2,3,Mobile Related
13,Data Speed lower than commited,DOTEL,2,3,Mobile Related
14,Mobile Number Portability (MNP),DOTEL,2,3,Mobile Related
15,UCC related complaints,DOTEL,2,3,Mobile Related
16,Activation/Deactivation of Value Added Services without explicit consent,DOTEL,2,3,Mobile Related
17,Activation/Deactivation/Fault of Sim Card,DOTEL,2,3,Mobile Related
18,AADHAR Linking/Documents verification,DOTEL,2,3,Mobile Related
19,Tariff / Recharge issue / Billing issue of Postpaid,DOTEL,2,3,Mobile Related
20,No Network Coverage,DOTEL,2,3,Mobile Related
21,Others,DOTEL,2,3,Mobile Related
22,Pension not started / Pension stopped,DOTEL,3,3,Pension Related
23,Revision of Pension,DOTEL,3,3,Pension Related
24,Miscalculation in Pension,DOTEL,3,3,Pension Related
25,Adding beneficiary in PPO,DOTEL,3,3,Pension Related
26,Others,DOTEL,3,3,Pension Related
27,Delay in New BB Connection,DOTEL,4,3,Broadband Related
28,Landline working but Internet not working/Frequent disconnection,DOTEL,4,3,Broadband Related
29,Billing issue,DOTEL,4,3,Broadband Related
30,Speed lower than committed,DOTEL,4,3,Broadband Related
31,Others,DOTEL,4,3,Broadband Related
32,Delay or issue in providing New Telephone Connection/Shifting/Change of Name,DOTEL,5,3,Landline Related
33,New Connection,DOTEL,5,3,Landline Related
34,Delay  in disconnection/closure,DOTEL,5,3,Landline Related
35,Denial of rent rebate during fault,DOTEL,5,3,Landline Related
36,Telephone Faulty/dead,DOTEL,5,3,Landline Related
37,Security Refund,DOTEL,5,3,Landline Related
38,Billing issue,DOTEL,5,3,Landline Related
39,Telephone not working properly,DOTEL,5,3,Landline Related
40,Others,DOTEL,5,3,Landline Related
41,Compensatory ground appointment,DOTEL,6,3,Employee Related / Services Related
42,Pending any type of Bill/dues for payment,DOTEL,6,3,Employee Related / Services Related
43,Issues related to Promotion,DOTEL,6,3,Employee Related / Services Related
44,Transfer/Posting,DOTEL,6,3,Employee Related / Services Related
45,Pending Disciplinary/Vigilance matters,DOTEL,6,3,Employee Related / Services Related
46,Sexual harassment,DOTEL,6,3,Employee Related / Services Related
47,Misbehaviour/Harassment by any officer/staff,DOTEL,6,3,Employee Related / Services Related
48,Residential Service Telephone Connection,DOTEL,6,3,Employee Related / Services Related
49,Health Hazard / Radiation Issue,DOTEL,7,3,Tower Related
50,Tower installation related fraud / Cheating,DOTEL,7,3,Tower Related
51,Employee Related Case,DOTEL,8,3,Malpractices / Corruption / Complaint Related to financial irregularities
52,Others,DOTEL,8,3,Malpractices / Corruption / Complaint Related to financial irregularities
53,Mobile Related,DOTEL,9,3,Suggestions
54,Landline Related,DOTEL,9,3,Suggestions
55,Broaband / Internet related,DOTEL,9,3,Suggestions
56,TRAI Related,DOTEL,9,3,Suggestions
57,General suggestion related to DoT / Policy,DOTEL,9,3,Suggestions
58,"Spectrum/License (2G, 3G, 4G)",DOTEL,9,3,Suggestions
59,Spectrum/License (5G),DOTEL,9,3,Suggestions
60,Others,DOTEL,9,3,Suggestions
61,Posts,DPOST,,1,#N/A
62,Delay/ Non - Delivery/Abstraction of Postal Articles,DPOST,61,2,Posts
63,Pension Related,DPOST,61,2,Posts
64,Financial Scheme Related,DPOST,61,2,Posts
65,Insurance Related,DPOST,61,2,Posts
66,Employees Service Related,DPOST,61,2,Posts
67,Allegation of Corruption/ Malpractices/Harassment,DPOST,61,2,Posts
68,Atrocities Against,DPOST,61,2,Posts
69,Aadhar and Post Office Passport Seva Kendra (POPSK) Related,DPOST,61,2,Posts
70,E-commerce portal Related,DPOST,61,2,Posts
71,Philately Related,DPOST,61,2,Posts
72,ePost Office Related,DPOST,61,2,Posts
73,Land Related,DPOST,61,2,Posts
74,Others/Misc.,DPOST,61,2,Posts
75,Domestic,DPOST,62,3,Delay/ Non - Delivery/Abstraction of Postal Articles
76,International,DPOST,62,3,Delay/ Non - Delivery/Abstraction of Postal Articles
77,Speed post letters,DPOST,75,4,Domestic
78,Speed post COD,DPOST,75,4,Domestic
79,Registered letters/Registered letters with acknowledgement,DPOST,75,4,Domestic
80,Parcels/Registered Parcels,DPOST,75,4,Domestic
81,Express Parcel/ Business Parcel,DPOST,75,4,Domestic
82,Express Parcel/ Business Parcel COD,DPOST,75,4,Domestic
83,"Money Order (emo,imo etc.)",DPOST,75,4,Domestic
84,Insured Articless,DPOST,75,4,Domestic
85,Other premium BD Products,DPOST,75,4,Domestic
86,Value Payable,DPOST,75,4,Domestic
87,Others,DPOST,75,4,Domestic
88,Foreign Articles (inbound/outbound),DPOST,76,4,International
89,Delay in Pension,DPOST,63,3,Pension Related
90,Revision of Pension,DPOST,63,3,Pension Related
91,Miscalculation in Pension,DPOST,63,3,Pension Related
92,Adding beneficiary in PPO,DPOST,63,3,Pension Related
93,Others,DPOST,63,3,Pension Related
94,Public Provident Fund Account,DPOST,64,3,Financial Scheme Related
95,Recurring Deposit,DPOST,64,3,Financial Scheme Related
96,Monthly Income Scheme,DPOST,64,3,Financial Scheme Related
97,Savings Bank (SB/RD/TD/MIS/SCSS/Others),DPOST,64,3,Financial Scheme Related
98,Sukanya Samriddhi,DPOST,64,3,Financial Scheme Related
99,Senior Citizen Savings Scheme,DPOST,64,3,Financial Scheme Related
100,Time Deposit,DPOST,64,3,Financial Scheme Related
101,ATM Card Related,DPOST,64,3,Financial Scheme Related
102,MNREGA Account,DPOST,64,3,Financial Scheme Related
103,National Savings Certificate VIII or IX,DPOST,64,3,Financial Scheme Related
104,Kisan Vikas Patra,DPOST,64,3,Financial Scheme Related
105,Indian Postal Order (IPO) Related,DPOST,64,3,Financial Scheme Related
106,Closure/Premature Closure of account at Branch Post Office,DPOST,94,4,Public Provident Fund Account
107,Closure/Premature Closure of account at Head Post Office,DPOST,94,4,Public Provident Fund Account
108,Closure/Premature Closure of account at Sub Post Office,DPOST,94,4,Public Provident Fund Account
109,Issue of Dublicate Passbook,DPOST,94,4,Public Provident Fund Account
110,Opening of account,DPOST,94,4,Public Provident Fund Account
111,Return of Passbook,DPOST,94,4,Public Provident Fund Account
112,Settlement of deceased claim case with nomination,DPOST,94,4,Public Provident Fund Account
113,Settlement of deceased claim case without nomination but with proof of,DPOST,94,4,Public Provident Fund Account
114,Transfer of account-Application given at PO where account stands,DPOST,94,4,Public Provident Fund Account
115,Transfer of account-Application given at Transferee PO,DPOST,94,4,Public Provident Fund Account
116,Others,DPOST,94,4,Public Provident Fund Account
117,Closure/Premature Closure of account at Branch Post Office,DPOST,95,4,Recurring Deposit
118,Closure/Premature Closure of account at Head Post Office,DPOST,95,4,Recurring Deposit
119,Closure/Premature Closure of account at Sub Post Office,DPOST,95,4,Recurring Deposit
120,Issue of Dublicate Passbook,DPOST,95,4,Recurring Deposit
121,Opening of account,DPOST,95,4,Recurring Deposit
122,Return of Passbook,DPOST,95,4,Recurring Deposit
123,Settlement of deceased claim case with nomination,DPOST,95,4,Recurring Deposit
124,Settlement of deceased claim case without nomination but with proof of,DPOST,95,4,Recurring Deposit
125,Transfer of account-Application given at PO where account stands,DPOST,95,4,Recurring Deposit
126,Transfer of account-Application given at Transferee PO,DPOST,95,4,Recurring Deposit
127,Others,DPOST,95,4,Recurring Deposit
128,Closure/Premature Closure of account at Branch Post Office,DPOST,96,4,Monthly Income Scheme
129,Closure/Premature Closure of account at Head Post Office,DPOST,96,4,Monthly Income Scheme
130,Closure/Premature Closure of account at Sub Post Office,DPOST,96,4,Monthly Income Scheme
131,Issue of Dublicate Passbook,DPOST,96,4,Monthly Income Scheme
132,Opening of account,DPOST,96,4,Monthly Income Scheme
133,Return of Passbook,DPOST,96,4,Monthly Income Scheme
134,Settlement of deceased claim case with nomination,DPOST,96,4,Monthly Income Scheme
135,Settlement of deceased claim case without nomination but with proof of,DPOST,96,4,Monthly Income Scheme
136,Transfer of account-Application given at PO where account stands,DPOST,96,4,Monthly Income Scheme
137,Transfer of account-Application given at Transferee PO,DPOST,96,4,Monthly Income Scheme
138,Others,DPOST,96,4,Monthly Income Scheme
139,Closure/Premature Closure of account at Branch Post Office,DPOST,97,4,Savings Bank (SB/RD/TD/MIS/SCSS/Others)
